c000001,c000002,c000003,c000004,c000005,c000006,c000007
0.2554549861,0.7156276703,0.4658493102,0.3438018858,0.5120279193,0.0093809515,0.327934742
0.2595538407,0.7158503532,0.4699890614,0.3424624801,0.5120313168,0.0093775755,0.3279364705
0.2637106354,0.7167164087,0.4737740755,0.3415696621,0.5120304823,0.0093928464,0.3279353678
0.2678793493,0.7182037234,0.4773742557,0.3406613469,0.5120295286,0.0093836896,0.327929467
0.2720934221,0.7182126641,0.4808064997,0.3394895494,0.512029469,0.0093957288,0.3279333711
0.2762058512,0.7175834775,0.4840332866,0.3383109868,0.512029767,0.0093879579,0.3279317617
0.2803725786,0.7179596424,0.4871152937,0.3372359276,0.5120303631,0.0093914568,0.3279331625
0.2845638064,0.7189951539,0.4899692833,0.3360943198,0.5120277405,0.0093885958,0.3279326856
0.2887474192,0.719193697,0.4926527143,0.3348023295,0.512029767,0.0093698427,0.3279345036
0.2928906394,0.7184247971,0.4952238202,0.3334469199,0.5120310783,0.0093603665,0.3279412389
0.2970288933,0.717779994,0.4975761473,0.332172811,0.5120368004,0.0093582915,0.3279403746
0.3012320402,0.7178022861,0.4997911751,0.3309219182,0.5120310783,0.0093673253,0.3279362917
0.3055129925,0.7178431153,0.5018266439,0.3295755684,0.5120418668,0.0093683228,0.32793805
0.3095608597,0.7172594666,0.5036615133,0.3281472325,0.5120310187,0.0093802065,0.3279327154
0.3137265938,0.716602087,0.5052950978,0.3267384171,0.5120332241,0.0093903318,0.3279324472
0.3179353692,0.7165626884,0.5067096353,0.325315088,0.5120278001,0.0093916832,0.3279351592
0.3221173266,0.7169836164,0.5079542994,0.3239596486,0.5120299459,0.0093921777,0.3279357553
0.3262373707,0.7172909975,0.5089928508,0.3225884438,0.5120248199,0.0093848258,0.3279317617
0.3304090644,0.717299521,0.5098606348,0.3211239278,0.5120318532,0.0093832789,0.3279402554
0.3346724691,0.7171551585,0.5105665922,0.3196116686,0.5120281577,0.0093771666,0.3279350996
0.338818338,0.7170630693,0.5110795498,0.3181153238,0.5120329857,0.0093777133,0.3279359341
0.3429347401,0.7171517611,0.5113782287,0.3166483641,0.5120315552,0.0093750618,0.3279331923
0.3472448281,0.7174171209,0.511512816,0.3152458072,0.5120307207,0.0093605248,0.3279410601
0.3515578958,0.7176742554,0.5114220977,0.3137575686,0.5120353699,0.009365269,0.3279387057
0.3556213241,0.717692852,0.5111151934,0.3122949898,0.5120324492,0.0093563991,0.3279434741
0.3597013067,0.7175340056,0.5106320977,0.3108179569,0.5120306611,0.0093787638,0.3279385269
0.3637855935,0.7174576521,0.5099563003,0.3093479872,0.5120314956,0.0093693081,0.3279447854
0.3679500032,0.7175349593,0.5090720057,0.3079050183,0.5120251179,0.0093938001,0.3279380798
0.3721541434,0.7175766826,0.508026123,0.3064172566,0.5120273232,0.0094021037,0.3279359639
